Speaker,Sex,Location,Distance,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
001,F,Imperial,50,high,low,low,low,high,68.5,53.5,32.5,26.0,67.0
001,F,Imperial,200,high,low,low,low,high,61.5,51.5,40.5,31.5,61.5
001,F,Imperial,500,high,high,high,high,high,59.5,56.0,53.5,46.0,58.5
001,M,Imperial,50,high,high,high,low,high,60.5,72.5,72.5,13.5,63.5
001,M,Imperial,200,high,high,high,low,high,68.5,65.5,59.0,34.5,65.0
001,M,Imperial,500,high,high,high,low,high,62.0,64.5,69.5,32.0,65.0
002,F,Imperial,50,high,low,high,high,low,54.0,53.5,59.0,47.0,53.5
002,F,Imperial,200,high,high,high,low,high,56.5,61.0,61.0,34.5,62.5
002,F,Imperial,500,low,low,high,high,high,52.0,47.0,67.0,51.5,57.0
002,M,Imperial,50,low,low,low,low,low,47.5,40.5,39.5,40.5,42.0
002,M,Imperial,200,low,low,high,low,low,45.5,50.0,52.5,35.0,39.0
002,M,Imperial,500,low,low,low,high,low,35.5,38.0,46.0,50.0,36.5
003,F,Imperial,50,high,high,low,high,high,67.5,62.5,51.0,44.5,72.0
003,F,Imperial,200,high,high,high,low,high,70.0,64.0,60.0,15.5,66.0
003,F,Imperial,500,high,high,high,low,high,68.0,75.5,57.0,28.5,59.0
003,M,Imperial,50,low,low,low,high,low,43.5,46.5,33.0,52.0,27.0
003,M,Imperial,200,low,high,low,low,low,46.5,57.5,43.0,29.0,30.5
003,M,Imperial,500,low,low,low,high,low,49.5,45.0,50.5,49.0,37.0
004,F,Imperial,50,low,low,low,high,high,50.5,49.0,38.5,41.5,61.5
004,F,Imperial,200,high,high,high,low,low,58.5,59.5,61.5,32.5,47.5
004,F,Imperial,500,low,low,high,high,high,34.5,49.0,69.0,64.0,60.5
004,M,Imperial,50,high,low,low,high,high,63.0,53.5,34.5,44.5,63.0
004,M,Imperial,200,high,high,high,low,high,59.5,55.0,64.0,40.5,56.0
004,M,Imperial,500,low,high,high,high,high,45.5,61.0,66.5,52.5,57.0
005,F,Imperial,50,low,high,high,low,high,47.0,67.5,75.5,36.5,68.5
005,F,Imperial,200,low,high,high,high,high,42.5,59.5,78.0,44.5,70.5
005,F,Imperial,500,low,low,high,high,high,32.5,50.5,75.0,66.0,61.5
005,M,Imperial,50,low,low,low,low,low,42.0,41.0,26.5,37.0,37.5
005,M,Imperial,200,low,low,low,low,low,37.5,44.5,43.0,37.0,37.5
005,M,Imperial,500,low,low,low,high,low,38.5,49.5,40.5,47.5,35.0
006,F,Imperial,50,high,low,low,high,high,58.5,44.0,32.5,49.0,57.5
006,F,Imperial,200,high,low,low,low,high,63.0,48.5,37.0,38.5,59.5
006,F,Imperial,500,high,high,low,low,high,59.0,57.5,43.0,39.0,60.5
006,M,Imperial,50,low,low,low,low,low,49.5,49.0,29.5,32.5,32.0
006,M,Imperial,200,low,low,low,high,low,47.5,46.0,42.5,49.5,46.0
006,M,Imperial,500,low,low,low,high,low,52.0,47.5,46.0,47.5,30.0
007,F,Imperial,50,high,low,low,high,low,59.5,34.5,51.5,53.5,43.0
007,F,Imperial,200,high,low,low,high,low,54.0,35.5,49.5,61.0,48.0
007,F,Imperial,500,high,high,high,high,low,55.5,58.5,56.0,56.5,47.5
007,M,Imperial,50,high,high,high,high,low,54.5,58.5,52.0,45.0,41.5
007,M,Imperial,200,high,high,high,high,high,58.5,58.0,62.0,53.5,62.0
007,M,Imperial,500,low,low,low,high,low,44.5,45.0,50.0,50.0,46.5
008,F,Imperial,50,high,high,low,low,low,67.0,62.0,48.0,35.0,53.0
008,F,Imperial,200,high,high,low,high,high,71.0,62.5,50.5,41.0,69.5
008,F,Imperial,500,high,high,low,low,high,62.0,62.5,47.0,37.0,65.5
008,M,Imperial,50,low,low,low,high,low,47.5,35.0,38.0,56.0,37.0
008,M,Imperial,200,low,low,low,high,low,42.5,40.5,43.5,66.0,38.0
008,M,Imperial,500,low,low,high,high,low,46.5,51.0,59.0,50.0,43.5
009,F,Imperial,50,high,low,high,high,low,60.0,53.0,55.0,41.5,49.0
009,F,Imperial,200,high,high,high,low,high,58.0,60.5,63.0,38.5,54.0
009,F,Imperial,500,high,high,high,high,low,53.0,60.0,69.0,55.5,51.5
009,M,Imperial,50,high,high,high,low,high,60.0,59.0,55.0,37.5,59.5
009,M,Imperial,200,high,high,high,low,high,56.0,57.0,63.5,22.5,57.0
009,M,Imperial,500,low,high,high,high,low,35.5,57.0,65.5,53.0,53.0
010,F,Imperial,50,low,high,high,high,high,38.5,61.5,69.0,41.0,54.5
010,F,Imperial,200,low,high,high,high,high,35.0,66.5,73.5,42.0,55.5
010,F,Imperial,500,low,high,high,high,high,37.0,61.5,77.5,45.0,62.5
010,M,Imperial,50,high,high,high,low,high,57.5,61.0,61.0,32.5,58.0
010,M,Imperial,200,high,high,high,low,high,54.5,68.0,59.0,38.5,59.0
010,M,Imperial,500,low,low,high,high,high,47.0,52.5,58.0,45.0,59.5
011,F,Imperial,50,high,high,low,high,high,66.0,64.0,39.5,46.5,60.5
011,F,Imperial,200,high,low,low,low,high,69.0,52.5,46.5,34.5,56.5
011,F,Imperial,500,high,high,high,low,high,62.0,65.0,55.0,23.5,66.0
011,M,Imperial,50,low,high,high,high,low,51.5,56.5,53.0,52.0,39.0
011,M,Imperial,200,low,high,high,high,low,42.5,56.5,62.0,62.5,47.0
011,M,Imperial,500,low,low,high,high,low,47.0,42.0,56.5,73.0,39.5
012,F,Imperial,50,high,high,high,low,high,72.5,73.5,64.5,28.0,70.5
012,F,Imperial,200,high,high,high,high,high,61.0,58.5,56.0,50.0,60.5
012,F,Imperial,500,high,high,high,low,high,68.0,69.5,62.0,33.5,71.5
012,M,Imperial,50,high,low,low,low,high,53.0,52.0,36.0,35.5,54.5
012,M,Imperial,200,low,high,high,low,high,45.0,57.5,62.5,37.5,59.5
012,M,Imperial,500,low,high,high,low,low,43.0,57.0,64.0,26.0,42.0
013,F,Imperial,50,high,high,low,high,high,65.0,58.0,40.0,45.0,61.5
013,F,Imperial,200,high,high,high,low,high,65.0,64.5,59.5,23.0,62.5
013,F,Imperial,500,high,high,high,low,high,60.0,61.0,64.5,31.0,65.0
013,M,Imperial,50,low,high,low,high,high,51.5,57.0,49.5,47.5,55.5
013,M,Imperial,200,low,high,high,high,low,49.0,55.0,58.0,60.0,44.0
013,M,Imperial,500,low,high,high,high,low,47.0,57.5,68.5,54.5,43.5
014,F,Imperial,50,high,low,low,high,low,60.0,36.5,17.5,70.0,41.5
014,F,Imperial,200,high,low,low,high,high,61.0,33.5,25.0,64.0,66.0
014,F,Imperial,500,high,low,low,high,high,54.0,40.0,40.5,55.5,56.5
014,M,Imperial,50,high,high,low,high,low,54.0,57.5,38.5,49.5,43.0
